InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice,DeviceMemory
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-a,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-b,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-c,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-f,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-east1,us-east1-b,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-west1,us-west1-b,0.73948,0.29576,
a2-highgpu-1g,12.0,85.0,,,,us-west3,us-west3-b,0.8882,0.35534,
a2-highgpu-1g,12.0,85.0,,,,us-west4,us-west4-b,0.8328,0.33306,
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-a,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-b,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-c,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-f,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-east1,us-east1-b,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-west1,us-west1-b,1.47895,0.59151,
a2-highgpu-2g,24.0,170.0,,,,us-west3,us-west3-b,1.77641,0.71068,
a2-highgpu-2g,24.0,170.0,,,,us-west4,us-west4-b,1.66559,0.66612,
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-a,2.95791,1.18302,
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-b,2.95791,1.18302,
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-c,2.95791,1.18302,
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-f,2.95791,1.18302,
a2-highgpu-4g,48.0,340.0,,,,us-east1,us-east1-b,2.95791,1.18302,
